
──────────────────────────────────────────────────
[multirole_ws_senior_engineer] 目标=40，最大尝试=200，并发=4
  ✓ [1/40] 通过（尝试4）
  ✓ [2/40] 通过（尝试7）
  ✓ [3/40] 通过（尝试9）
  ✓ [4/40] 通过（尝试10）
  ✓ [5/40] 通过（尝试12）
  ✓ [6/40] 通过（尝试14）
  ✓ [7/40] 通过（尝试15）
  ✓ [8/40] 通过（尝试19）
  ✓ [9/40] 通过（尝试20）
  ✓ [10/40] 通过（尝试21）
  ✓ [11/40] 通过（尝试23）
  ✓ [12/40] 通过（尝试25）
  ✓ [13/40] 通过（尝试28）
  ✓ [14/40] 通过（尝试29）
  ✓ [15/40] 通过（尝试32）
  ✓ [16/40] 通过（尝试33）
  ✓ [17/40] 通过（尝试34）
  ✓ [18/40] 通过（尝试35）
  ✓ [19/40] 通过（尝试36）
  ✓ [20/40] 通过（尝试37）
  ✓ [21/40] 通过（尝试39）
  ✓ [22/40] 通过（尝试40）
  ✓ [23/40] 通过（尝试41）
  ✓ [24/40] 通过（尝试44）
  ✓ [25/40] 通过（尝试50）
  ✓ [26/40] 通过（尝试52）
  ✓ [27/40] 通过（尝试53）
  ✓ [28/40] 通过（尝试54）
  ✓ [29/40] 通过（尝试57）
  ✓ [30/40] 通过（尝试58）
  ✓ [31/40] 通过（尝试60）
  ✓ [32/40] 通过（尝试64）
  ✓ [33/40] 通过（尝试66）
  ✓ [34/40] 通过（尝试69）
  ✓ [35/40] 通过（尝试73）
  ✓ [36/40] 通过（尝试74）
  ✓ [37/40] 通过（尝试75）
  ✓ [38/40] 通过（尝试77）
  ✓ [39/40] 通过（尝试78）
  ✓ [40/40] 通过（尝试82）
[multirole_ws_senior_engineer] 完成：40/40

──────────────────────────────────────────────────
[multirole_ws_junior_engineer] 目标=40，最大尝试=200，并发=4
  ✓ [1/40] 通过（尝试1）
  ✓ [2/40] 通过（尝试2）
  ✓ [3/40] 通过（尝试4）
  ✓ [4/40] 通过（尝试5）
  ✓ [5/40] 通过（尝试6）
  ✓ [6/40] 通过（尝试8）
  ✓ [7/40] 通过（尝试9）
  ✓ [8/40] 通过（尝试10）
  ✓ [9/40] 通过（尝试11）
  ✓ [10/40] 通过（尝试12）
  ✓ [11/40] 通过（尝试19）
  ✓ [12/40] 通过（尝试21）
  ✓ [13/40] 通过（尝试22）
  ✓ [14/40] 通过（尝试23）
  ✓ [15/40] 通过（尝试25）
  ✓ [16/40] 通过（尝试27）
  ✓ [17/40] 通过（尝试29）
  ✓ [18/40] 通过（尝试31）
  ✓ [19/40] 通过（尝试32）
  ✓ [20/40] 通过（尝试34）
  ✓ [21/40] 通过（尝试35）
  ✓ [22/40] 通过（尝试36）
  ✓ [23/40] 通过（尝试37）
  ✓ [24/40] 通过（尝试38）
  ✓ [25/40] 通过（尝试39）
  ✓ [26/40] 通过（尝试41）
  ✓ [27/40] 通过（尝试44）
  ✓ [28/40] 通过（尝试45）
  ✓ [29/40] 通过（尝试46）
  ✓ [30/40] 通过（尝试47）
  ✓ [31/40] 通过（尝试48）
  ✓ [32/40] 通过（尝试50）
  ✓ [33/40] 通过（尝试51）
  ✓ [34/40] 通过（尝试52）
  ✓ [35/40] 通过（尝试53）
  ✓ [36/40] 通过（尝试54）
  ✓ [37/40] 通过（尝试55）
  ✓ [38/40] 通过（尝试57）
  ✓ [39/40] 通过（尝试58）
  ✓ [40/40] 通过（尝试60）
[multirole_ws_junior_engineer] 完成：40/40

──────────────────────────────────────────────────
[multirole_ws_quality_manager] 目标=40，最大尝试=200，并发=4
  ✓ [1/40] 通过（尝试1）
  ✓ [2/40] 通过（尝试2）
  ✓ [3/40] 通过（尝试3）
  ✓ [4/40] 通过（尝试4）
  ✓ [5/40] 通过（尝试6）
  ✓ [6/40] 通过（尝试7）
  ✓ [7/40] 通过（尝试8）
  ✓ [8/40] 通过（尝试9）
  ✓ [9/40] 通过（尝试11）
  ✓ [10/40] 通过（尝试14）
  ✓ [11/40] 通过（尝试16）
  ✓ [12/40] 通过（尝试17）
  ✓ [13/40] 通过（尝试18）
  ✓ [14/40] 通过（尝试19）
  ✓ [15/40] 通过（尝试20）
  ✓ [16/40] 通过（尝试24）
  ✓ [17/40] 通过（尝试26）
  ✓ [18/40] 通过（尝试27）
  ✓ [19/40] 通过（尝试30）
  ✓ [20/40] 通过（尝试32）
  ✓ [21/40] 通过（尝试36）
  ✓ [22/40] 通过（尝试38）
  ✓ [23/40] 通过（尝试40）
  ✓ [24/40] 通过（尝试41）
  ✓ [25/40] 通过（尝试42）
  ✓ [26/40] 通过（尝试43）
  ✓ [27/40] 通过（尝试44）
  ✓ [28/40] 通过（尝试46）
  ✓ [29/40] 通过（尝试47）
  ✓ [30/40] 通过（尝试48）
  ✓ [31/40] 通过（尝试51）
  ✓ [32/40] 通过（尝试54）
  ✓ [33/40] 通过（尝试56）
  ✓ [34/40] 通过（尝试57）
  ✓ [35/40] 通过（尝试58）
  ✓ [36/40] 通过（尝试60）
  ✓ [37/40] 通过（尝试61）
  ✓ [38/40] 通过（尝试62）
  ✓ [39/40] 通过（尝试64）
  ✓ [40/40] 通过（尝试65）
[multirole_ws_quality_manager] 完成：40/40

──────────────────────────────────────────────────
[multirole_ws_statistician] 目标=40，最大尝试=200，并发=4
  ✓ [1/40] 通过（尝试2）
  ✓ [2/40] 通过（尝试3）
  ✓ [3/40] 通过（尝试4）
  ✓ [4/40] 通过（尝试5）
  ✓ [5/40] 通过（尝试7）
  ✓ [6/40] 通过（尝试11）
  ✓ [7/40] 通过（尝试12）
  ✓ [8/40] 通过（尝试13）
  ✓ [9/40] 通过（尝试15）
  ✓ [10/40] 通过（尝试17）
  ✓ [11/40] 通过（尝试21）
  ✓ [12/40] 通过（尝试23）
  ✓ [13/40] 通过（尝试24）
  ✓ [14/40] 通过（尝试26）
  ✓ [15/40] 通过（尝试27）
  ✓ [16/40] 通过（尝试28）
  ✓ [17/40] 通过（尝试29）
  ✓ [18/40] 通过（尝试30）
  ✓ [19/40] 通过（尝试31）
  ✓ [20/40] 通过（尝试32）
  ✓ [21/40] 通过（尝试33）
  ✓ [22/40] 通过（尝试35）
  ✓ [23/40] 通过（尝试36）
  ✓ [24/40] 通过（尝试37）
  ✓ [25/40] 通过（尝试38）
  ✓ [26/40] 通过（尝试42）
  ✓ [27/40] 通过（尝试46）
  ✓ [28/40] 通过（尝试47）
  ✓ [29/40] 通过（尝试48）
  ✓ [30/40] 通过（尝试52）
  ✓ [31/40] 通过（尝试56）
  ✓ [32/40] 通过（尝试57）
  ✓ [33/40] 通过（尝试59）
  ✓ [34/40] 通过（尝试60）
  ✓ [35/40] 通过（尝试61）
  ✓ [36/40] 通过（尝试62）
  ✓ [37/40] 通过（尝试64）
  ✓ [38/40] 通过（尝试65）
  ✓ [39/40] 通过（尝试66）
  ✓ [40/40] 通过（尝试68）
[multirole_ws_statistician] 完成：40/40

✓ 输出：round3/data/multirole_ws_extra.jsonl（160 条）
