
──────────────────────────────────────────────────
[expanded_ns_v5] 目标=200，最大尝试=1000，并发=4
  ✓ [1/200] 通过（尝试6）
  ✓ [2/200] 通过（尝试7）
  ✓ [3/200] 通过（尝试10）
  ✓ [4/200] 通过（尝试12）
  ✓ [5/200] 通过（尝试13）
  ✓ [6/200] 通过（尝试17）
  ✓ [7/200] 通过（尝试21）
  ✓ [8/200] 通过（尝试22）
  ✓ [9/200] 通过（尝试23）
  ✓ [10/200] 通过（尝试24）
  ✓ [11/200] 通过（尝试26）
  ✓ [12/200] 通过（尝试27）
  ✓ [13/200] 通过（尝试28）
  ✓ [14/200] 通过（尝试29）
  ✓ [15/200] 通过（尝试30）
  ✓ [16/200] 通过（尝试33）
  ✓ [17/200] 通过（尝试34）
  ✓ [18/200] 通过（尝试36）
  ✓ [19/200] 通过（尝试37）
  ✓ [20/200] 通过（尝试40）
  ✓ [21/200] 通过（尝试41）
  ✓ [22/200] 通过（尝试44）
  ✓ [23/200] 通过（尝试47）
  ✓ [24/200] 通过（尝试50）
  ✓ [25/200] 通过（尝试51）
  ✓ [26/200] 通过（尝试54）
  ✓ [27/200] 通过（尝试55）
  ✓ [28/200] 通过（尝试57）
  ✓ [29/200] 通过（尝试58）
  ✓ [30/200] 通过（尝试60）
  ✓ [31/200] 通过（尝试64）
  ✓ [32/200] 通过（尝试68）
  ✓ [33/200] 通过（尝试69）
  ✓ [34/200] 通过（尝试70）
  ✓ [35/200] 通过（尝试72）
  ✓ [36/200] 通过（尝试73）
  ✓ [37/200] 通过（尝试75）
  ✓ [38/200] 通过（尝试77）
  ✓ [39/200] 通过（尝试80）
  ✓ [40/200] 通过（尝试82）
  ✓ [41/200] 通过（尝试84）
  ✓ [42/200] 通过（尝试85）
  ✓ [43/200] 通过（尝试87）
  ✓ [44/200] 通过（尝试88）
  ✓ [45/200] 通过（尝试89）
  ✓ [46/200] 通过（尝试90）
  ✓ [47/200] 通过（尝试92）
  ✓ [48/200] 通过（尝试94）
  ✓ [49/200] 通过（尝试95）
  ✓ [50/200] 通过（尝试97）
  ✓ [51/200] 通过（尝试98）
  ✓ [52/200] 通过（尝试99）
  ✓ [53/200] 通过（尝试100）
  ✓ [54/200] 通过（尝试103）
  ✓ [55/200] 通过（尝试106）
  ✓ [56/200] 通过（尝试107）
  ✓ [57/200] 通过（尝试109）
  ✓ [58/200] 通过（尝试110）
  ✓ [59/200] 通过（尝试112）
  ✓ [60/200] 通过（尝试113）
  ✓ [61/200] 通过（尝试114）
  ✓ [62/200] 通过（尝试118）
  ✓ [63/200] 通过（尝试119）
  ✓ [64/200] 通过（尝试122）
  ✓ [65/200] 通过（尝试123）
  ✓ [66/200] 通过（尝试124）
  ✓ [67/200] 通过（尝试128）
  ✓ [68/200] 通过（尝试131）
  ✓ [69/200] 通过（尝试132）
  ✓ [70/200] 通过（尝试133）
  ✓ [71/200] 通过（尝试134）
  ✓ [72/200] 通过（尝试135）
  ✓ [73/200] 通过（尝试136）
  ✓ [74/200] 通过（尝试139）
  ✓ [75/200] 通过（尝试140）
  ✓ [76/200] 通过（尝试142）
  ✓ [77/200] 通过（尝试144）
  ✓ [78/200] 通过（尝试145）
  ✓ [79/200] 通过（尝试146）
  ✓ [80/200] 通过（尝试148）
  ✓ [81/200] 通过（尝试149）
  ✓ [82/200] 通过（尝试150）
  ✓ [83/200] 通过（尝试151）
  ✓ [84/200] 通过（尝试153）
  ✓ [85/200] 通过（尝试154）
  ✓ [86/200] 通过（尝试155）
  ✓ [87/200] 通过（尝试156）
  ✓ [88/200] 通过（尝试158）
  ✓ [89/200] 通过（尝试159）
  ✓ [90/200] 通过（尝试160）
  ✓ [91/200] 通过（尝试161）
  ✓ [92/200] 通过（尝试162）
  ✓ [93/200] 通过（尝试163）
