
──────────────────────────────────────────────────
[expanded_ns_v5] 目标=300，最大尝试=1500，并发=6
  ✓ [1/300] 通过（尝试3）
  ✓ [2/300] 通过（尝试15）
  ✓ [3/300] 通过（尝试16）
  ✓ [4/300] 通过（尝试17）
  ✓ [5/300] 通过（尝试18）
  ✓ [6/300] 通过（尝试19）
  ✓ [7/300] 通过（尝试24）
  ✓ [8/300] 通过（尝试25）
  ✓ [9/300] 通过（尝试27）  ✓ [10/300] 通过（尝试37）
   ✓ [11/300] 通过（尝试31）
 ✓ [12/300] 通过（尝试42）
  ✓ [13/300] 通过（尝试46）
  ✓ [14/300] 通过（尝试47）
  ✓ [15/300] 通过（尝试50）
  ✓ [16/300] 通过（尝试51）
  ✓ [17/300] 通过（尝试52）
  ✓ [18/300] 通过（尝试54）
  ✓ [19/300] 通过（尝试56）
  ✓ [20/300] 通过（尝试57）
  ✓ [21/300] 通过（尝试58）
  ✓ [22/300] 通过（尝试61）
  ✓ [23/300] 通过（尝试62）
  ✓ [24/300] 通过（尝试63）
  ✓ [25/300] 通过（尝试65）
  ✓ [26/300] 通过（尝试66）
  ✓ [27/300] 通过（尝试67）
  ✓ [28/300] 通过（尝试69）
  ✓ [29/300] 通过（尝试70）
  ✓ [30/300] 通过（尝试72）
  ✓ [31/300] 通过（尝试74）
  ✓ [32/300] 通过（尝试76）
  ✓ [33/300] 通过（尝试78）
  ✓ [34/300] 通过（尝试79）
  ✓ [35/300] 通过（尝试83）
  ✓ [36/300] 通过（尝试84）
  ✓ [37/300] 通过（尝试86）
  ✓ [38/300] 通过（尝试87）
  ✓ [39/300] 通过（尝试88）
  ✓ [40/300] 通过（尝试90）
  ✓ [41/300] 通过（尝试91）
  ✓ [42/300] 通过（尝试93）
  ✓ [43/300] 通过（尝试95）
  ✓ [44/300] 通过（尝试99）
  ✓ [45/300] 通过（尝试105）
  ✓ [46/300] 通过（尝试108）
  ✓ [47/300] 通过（尝试112）
  ✓ [48/300] 通过（尝试116）
  ✓ [49/300] 通过（尝试117）
  ✓ [50/300] 通过（尝试122）
  ✓ [51/300] 通过（尝试123）
  ✓ [52/300] 通过（尝试125）
  ✓ [53/300] 通过（尝试126）
  ✓ [54/300] 通过（尝试127）
  ✓ [55/300] 通过（尝试128）
  ✓ [56/300] 通过（尝试130）
  ✓ [57/300] 通过（尝试137）
  ✓ [58/300] 通过（尝试138）
  ✓ [59/300] 通过（尝试139）
  ✓ [60/300] 通过（尝试141）
  ✓ [61/300] 通过（尝试145）
  ✓ [62/300] 通过（尝试151）
  ✓ [63/300] 通过（尝试152）
